Pidgin English Language is commonly spoken in Junior Secondary Schools in Obio/Akpor Local Government Area.,Pidgin English Language is being used in educational settings by students and teachers in Junior Secondary Schools.,The primary reason for using Pidgin English Language in teaching and learning in Junior Secondary Schools by students and teachers is for facilitating faster and easier communication.,Pidgin English Language is currently being used in the classroom to what extent?,There are challenges or drawbacks associated with using Pidgin English Language in educational settings.,There are specific subjects or areas where Pidgin English Language could be more effectively used in teaching and learning.,There are some cultural considerations that should be taken into account when using Pidgin English Language in educational settings.,Some steps should be taken to further include Pidgin English Language usage into teaching and learning practices.,Students and teachers are familiar with the concept of Pidgin English Language.,There are potential benefits of including Pidgin English Language in the classroom.,The use of Pidgin English Language can compromise students' performance in formal English.,It is preferable to use Pidgin English Language for better communication in educational settings.,There is an improvement in students' learning outcomes when Pidgin English Language is utilized.,"With appropriate effort, Pidgin English Language can be effectively integrated into the curriculum.",Teachers should receive training on how to effectively use Pidgin English Language in teaching.,There's positive impact of Pidgin English Language on teaching and learning.,There is serious negative impact of Pidgin English Language on teaching and learning.,Junior Secondary School education can progress successfully without the use of Pidgin English Language during teaching and learning.,The use of Pidgin English Language facilitates teaching and learning.,You have personally experienced some positive effects of using Pidgin English Language in your education or teaching practices.,Pidgin English Language should be included as a legitimate language of instruction.,The use of Pidgin English Language affects students' motivation to learn positively.,Some strategies can be carried out by educators to effectively include Pidgin English Language without compromising standard language proficiency.,The use of Pidgin English Language during instruction fosters successful communication.,Utilization of Pidgin English Language by the teachers and students helps to form a bond and establish closeness between them.,Pidgin English Language is mostly used for instruction because it helps for clarification of difficult concepts.,The teachers and students engage in more friendly conversations when using the Pidgin English Language during instruction.,You have personally benefitted from the use of Pidgin English Language during instruction.,Pidgin English Language hinders students' proficiency in standard English.,Pidgin English Language leads to poor communication skills among students.,The use of Pidgin English Language negatively impacts students' ability to perform effectively in other subjects.,Teachers find it challenging to change from Pidgin English Language to standard English during instruction.,"Pidgin English Language affects students' overall performance, especially in English language exams or assessments.",Pidgin English Language creates a barrier to understanding and comprehending complex academic concepts.,"Pidgin English Language creates language inequalities and thereby, causes social divisions in education.",Teachers face challenges when students use Pidgin English Language in the classroom.,You have experienced a situation where Pidgin English Language negatively impacted teaching or learning outcomes.,Attempts have been made to address the negative effects of Pidgin English Language on teaching and learning in your educational context.
3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,4.0
2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0
3.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
1.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0
3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0
2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0
2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0
2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0
2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0
1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0
1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0
1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0
2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
3.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0
2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0
3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0
3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0
3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0
4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0
3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0
3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0
2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0
1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0
2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0
2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0
3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0
2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0
3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0
2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0
3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0
2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0
2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0
3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0
4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0
3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0
3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0
3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0
2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0
2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0
3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0
3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0
2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0
3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0
2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
